angle,energy,length
94.61673136612163,7.500141813237649,0.9513026383036285
95.61673136612164,6.046260209439362,0.9508190921868693
96.61673136612157,4.754027495286332,0.9502645974950227
97.6167313661216,3.621579505232768,0.9497239070494972
98.61673136612163,2.6470220354587592,0.9491962785504937
99.61673136612164,1.8283878532980908,0.9486813074525041
100.61673136612166,1.1636354252454788,0.948178614120604
101.61673136612163,0.6506479541193828,0.9476878392099664
102.6167313661216,0.28723268034651445,0.9472086382499645
103.61673136612167,0.0711204719557202,0.9467406766406703
104.61673136612157,-3.4340745260081315e-05,0.9462836250966041
105.61673136612164,0.07134609721351998,0.945837155570617
106.61673136612157,0.28276343339158805,0.9454009376828972
107.61673136612161,0.6316435484269249,0.9449746356725313
108.61673136612163,1.1153371371857754,0.9445579058802698
109.61673136612163,1.731120407851246,0.9441503947634126
110.61673136612161,2.476195862722105,0.9437517374355955
111.61673136612163,3.347693124828989,0.9433615567172795
112.61673136612164,4.342669801450789,0.9429794626762006
113.61673136612166,5.4581123374825555,0.9426050526317439
114.61673136612167,6.690936851715151,0.9422379115926471
